geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type
MI,uninsured,wk3_4,asian,0.06651465972812313,0.036466743180097995,0.07147481663299207,-0.004960156904868937,0.1379894763611152,state
MI,uninsured,wk3_4,black,0.04151680857059588,0.014018133325724783,0.027475541318420574,0.014041267252175305,0.06899234988901645,state
MI,uninsured,wk3_4,hispanic,0.21629841523600463,0.06717285531412734,0.1316587964156896,0.08463961882031504,0.34795721165169424,state
MI,uninsured,wk3_4,other,0.11698127752045014,0.049231682035963405,0.09649409679048827,0.020487180729961862,0.2134753743109384,state
MI,uninsured,wk3_4,white,0.053691742567479675,0.009175060439164667,0.017983118460762747,0.03570862410671693,0.07167486102824241,state
MN,uninsured,wk3_4,asian,0.052081311793903004,0.026454285509432258,0.051850399598487223,2.3091219541578056e-4,0.10393171139239023,state
MN,uninsured,wk3_4,black,0.2109727639315105,0.08330382098240066,0.1632754891255053,0.04769727480600519,0.3742482530570158,state
MN,uninsured,wk3_4,hispanic,0.01630471178819052,0.010973347367324283,0.021507760839955595,-0.005203049051765076,0.03781247262814612,state
MN,uninsured,wk3_4,other,0.07547963475217144,0.04431770479928426,0.08686270140659716,-0.01138306665442572,0.16234233615876859,state
MN,uninsured,wk3_4,white,0.07245634339352651,0.012852452962880056,0.02519080780724491,0.047265535586281604,0.09764715120077141,state
MO,uninsured,wk3_4,asian,0.13455037701819011,0.07834879713259724,0.1535636423798906,-0.019013265361700477,0.2881140193980807,state
MO,uninsured,wk3_4,black,0.19325549445321658,0.04877717103131709,0.0956032552213815,0.09765223923183508,0.28885874967459807,state
MO,uninsured,wk3_4,hispanic,0.08649008190237549,0.03191899160290545,0.06256122354169467,0.023928858360680816,0.14905130544407016,state
MO,uninsured,wk3_4,other,0.19209478505858613,0.05551777462102205,0.10881483825720321,0.08327994680138291,0.30090962331578935,state
MO,uninsured,wk3_4,white,0.10802194523706146,0.013124246145842232,0.02572352244585077,0.08229842279121069,0.13374546768291223,state
MS,uninsured,wk3_4,asian,0.16793395258376004,0.11160259859750456,0.21874109325110894,-0.0508071406673489,0.386675045834869,state
MS,uninsured,wk3_4,black,0.21971279922180822,0.04486141045095918,0.08792836448387999,0.13178443473792822,0.3076411637056882,state
MS,uninsured,wk3_4,hispanic,0.15866341333788223,0.05276983085739218,0.10342886848048867,0.055234544857393555,0.2620922818183709,state
MS,uninsured,wk3_4,other,0.2726868648496637,0.10012925794204108,0.19625334556640053,0.07643351928326317,0.46894021041606426,state
MS,uninsured,wk3_4,white,0.1756552480159704,0.027697253297664353,0.05428661646342213,0.12136863155254828,0.22994186447939252,state
MT,uninsured,wk3_4,asian,0,0,0,0,0,state
MT,uninsured,wk3_4,black,0.18367215249179442,0.15691635965643272,0.30755606492660814,-0.12388391243481373,0.49122821741840256,state
MT,uninsured,wk3_4,hispanic,0.03791049043000453,0.030710798650620416,0.060193165355216016,-0.022282674925211486,0.09810365578522054,state
MT,uninsured,wk3_4,other,0.06335717584858036,0.02523840596377935,0.04946727568900752,0.013889900159572838,0.11282445153758788,state
MT,uninsured,wk3_4,white,0.08479231411000307,0.013158176354360536,0.02579002565454665,0.05900228845545642,0.11058233976454972,state
NC,uninsured,wk3_4,asian,0.11717404074269298,0.07150362838500873,0.14014711163461713,-0.022973070891924144,0.2573211523773101,state
NC,uninsured,wk3_4,black,0.11334972281462208,0.02443237461757037,0.04788745425043792,0.06546226856418416,0.16123717706506,state
NC,uninsured,wk3_4,hispanic,0.22672226483190783,0.0672808538908923,0.13187047362614893,0.0948517912057589,0.3585927384580567,state
NC,uninsured,wk3_4,other,0.08273845825700861,0.044153500331415026,0.08654086064957345,-0.003802402392564838,0.16927931890658204,state
NC,uninsured,wk3_4,white,0.09127777987825553,0.011179005870274332,0.02191085150573769,0.06936692837251784,0.11318863138399321,state
ND,uninsured,wk3_4,asian,0.26805134282543797,0.10006825207596168,0.19613377406888488,0.07191756875655309,0.46418511689432285,state
ND,uninsured,wk3_4,black,0.7113125047316163,0.20079801721843651,0.39356411374813555,0.3177483909834808,1.1048766184797518,state
ND,uninsured,wk3_4,hispanic,0.22793502538548083,0.11322539961436677,0.22192178324415887,0.006013242141321956,0.4498568086296397,state
ND,uninsured,wk3_4,other,0.3172974856659747,0.12039616099750207,0.23597647555510406,0.08132101011087065,0.5532739612210787,state
ND,uninsured,wk3_4,white,0.08333602314831913,0.018970085347946194,0.03718136728197454,0.04615465586634459,0.12051739043029366,state
NE,uninsured,wk3_4,asian,0.1700455726720855,0.09657331244794996,0.18928369239798193,-0.019238119725896424,0.35932926507006746,state
NE,uninsured,wk3_4,black,0.15300974187590732,0.06393431040773885,0.12531124839916816,0.027698493476739167,0.2783209902750755,state
NE,uninsured,wk3_4,hispanic,0.16278533944837398,0.054262325145114,0.10635415728442343,0.056431182163950544,0.2691394967327974,state
NE,uninsured,wk3_4,other,0.07501222584116221,0.04749348213036384,0.09308722497551312,-0.018074999134350914,0.16809945081667532,state
NE,uninsured,wk3_4,white,0.06157731045823249,0.011083759222619383,0.02172416807633399,0.0398531423818985,0.08330147853456649,state
NH,uninsured,wk3_4,asian,0.01776824928522965,0.017930608344067785,0.035143992354372856,-0.017375743069143208,0.05291224163960251,state
